                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.011,                 3.9745,                  3.544,                0.84249,                0.05729,                0.04097,                0.01019,                  3.106,                 2.8156,                 2.4802,             0.00025541,             0.00025541,             0.00025541
                      2,                 2.5832,                 2.0981,                  1.979,                0.52949,                0.12638,                0.13723,                0.05634,                 2.1402,                 1.8504,                 1.6414,             0.00047797,             0.00047797,             0.00047797
                      3,                 2.0862,                 1.6105,                 1.5744,                0.36823,                0.30094,                0.23561,                0.11582,                 1.8232,                 1.4362,                 1.4227,             0.00066669,             0.00066669,             0.00066669
                      4,                 1.8777,                 1.3692,                 1.4136,                0.49263,                0.35287,                0.31264,                0.16795,                 1.6533,                 1.2268,                  1.303,             0.00061674,             0.00061674,             0.00061674
                      5,                 1.7444,                 1.2297,                 1.3301,                 0.5131,                0.33991,                0.35159,                0.19377,                 1.5876,                 1.1445,                 1.2556,             0.00061674,             0.00061674,             0.00061674
                      6,                 1.6159,                 1.1396,                 1.2697,                0.60042,                0.39315,                0.39926,                 0.2243,                 1.4962,                 1.0817,                 1.2006,             0.00056598,             0.00056598,             0.00056598
                      7,                 1.5251,                 1.0268,                 1.2208,                0.52049,                0.41079,                0.43205,                0.23617,                  1.449,                 1.0097,                 1.1639,             0.00051523,             0.00051523,             0.00051523
                      8,                 1.4442,                0.94205,                 1.1833,                0.69305,                0.44056,                0.46557,                0.26744,                 1.4096,                0.91755,                 1.1521,             0.00046448,             0.00046448,             0.00046448
                      9,                 1.3858,                0.88724,                 1.1515,                   0.79,                0.45445,                0.49787,                0.28592,                 1.3301,                0.86845,                 1.1148,             0.00041372,             0.00041372,             0.00041372
                     10,                  1.332,                0.83347,                 1.1255,                0.78947,                0.47049,                0.51074,                0.30259,                 1.2796,                0.82919,                 1.0873,             0.00036297,             0.00036297,             0.00036297
                     11,                 1.2885,                0.79442,                 1.1065,                0.77755,                 0.4876,                0.53308,                0.31681,                 1.2543,                  0.781,                 1.0808,             0.00031221,             0.00031221,             0.00031221
                     12,                 1.2428,                0.76002,                 1.0903,                0.77693,                0.50247,                0.54266,                0.32222,                 1.2075,                0.76457,                 1.0661,             0.00026146,             0.00026146,             0.00026146
                     13,                 1.2034,                0.72894,                 1.0694,                0.80674,                0.49821,                0.54384,                0.32857,                 1.2065,                0.72912,                 1.0597,             0.00021071,             0.00021071,             0.00021071
                     14,                 1.1707,                0.70316,                 1.0568,                0.80831,                0.52274,                0.56114,                0.33866,                 1.1783,                0.70829,                 1.0495,             0.00015995,             0.00015995,             0.00015995
                     15,                 1.1411,                0.68286,                 1.0462,                0.82246,                0.53548,                0.58045,                0.34527,                 1.1557,                0.68151,                 1.0338,              0.0001092,              0.0001092,              0.0001092
